,ID,Ortsteil,Bezirk,Typ,Bezeichnung,Ensemble_Info,Zugehörigkeit,Adresse,Adresse2,Architekt und weitere Informationen,Jahr
0,09020353,CHA-WIL/WESTE-E,Charlottenburg-Wilmersdorf,Ensemble,Wohnhäuser,ganzes Ensemble,Baudenkmal siehe: Badenallee 30,Badenallee 29-30,,,
1,09020354,CHA-WIL/WESTE-E,Charlottenburg-Wilmersdorf,Ensemble,Haus Hübner,Ensemble-Bestandteil,,Badenallee 29,,Paul G. R. Baumgarten ,1938-39
2,09011386,CHA-WIL/WILMD-E,Charlottenburg-Wilmersdorf,Ensemble,Wohnblöcke,Ensemble-Bestandteil,Gesamtanlage siehe: Binger Straße 75-77A - Baudenkmal siehe: Binger Straße 10-15,"Binger Straße 10-16, 18-23, 66-72, 75-77A","Eberbacher Straße 17-21, 24, 26-31 - Homburger Straße 45, 49-54 - Johannisberger Straße 12-14, 17-22 - Nauheimer Straße 41-41A, 46-46A - Schlangenbader Straße 77-81, 84-92 - Wiesbadener Straße 41-49",,
3,09011627,CHA-WIL/WILMD-E,Charlottenburg-Wilmersdorf,Ensemble,Wohnblock,Ensemble-Bestandteil,,Binger Straße 16 / Homburger Straße 49/53 / Schlangenbader Straße 84,,Alfred Gerschel ,1930
4,09011630,CHA-WIL/WILMD-E,Charlottenburg-Wilmersdorf,Ensemble,Wohnblock,Ensemble-Bestandteil,,Binger Straße 18-20 / Eberbacher Straße 24/30 / Schlangenbader Straße 80-81,,Heinz Stoffregen ,1928
5,09011628,CHA-WIL/WILMD-E,Charlottenburg-Wilmersdorf,Ensemble,Wohnblock,Ensemble-Bestandteil,,Binger Straße 21-23 / Eberbacher Straße 27/31 / Schlangenbader Straße 77-79 / Wiesbadener Straße 45-49,,Mebes & Emmerich ,1926-27
6,09011629,CHA-WIL/WILMD-E,Charlottenburg-Wilmersdorf,Ensemble,Wohnblock,Ensemble-Bestandteil,,Binger Straße 66-68 / Eberbacher Straße 17/21 / Johannisberger Straße 19-22 / Wiesbadener Straße 41-44,,Erich Bohne ,1928-29
7,09011631,CHA-WIL/WILMD-E,Charlottenburg-Wilmersdorf,Ensemble,Wohnblock,Ensemble-Bestandteil,,Binger Straße 69-72 / Eberbacher Straße 18/20 / Homburger Straße 45 / Johannisberger Straße 17-18A,,Alfred Gerschel ,1929-30
8,09046400,CHA-WIL/GRUNE-E,Charlottenburg-Wilmersdorf,Ensemble,"Palais Mendelssohn, Landhausanlage und Gasleuchten im Straßenraum",ganzes Ensemble,Baudenkmale siehe: Bismarckallee 19A...; Herthastraße 5,"Bismarckallee 19A, 21B-D, 23",Herthastraße 3/5,,
9,09046401,CHA-WIL/GRUNE-E,Charlottenburg-Wilmersdorf,Ensemble,Palais,Ensemble-Bestandteil,,"Palais, 1896-98 von Ernst von Ihne",,"Ernst von Ihne, Umbauten nach 1945",1896-98 und 1945
10,09020356,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Theater und Geschäftshaus,ganzes Ensemble,Baudenkmal siehe: Bismarckstraße 110,Bismarckstraße 109-110,Am Schillertheater 2/4 - Schillerstraße 9,,
11,09020357,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Haus der Wirtschaft, Büro- und Geschäftshaus",Ensemble-Bestandteil,,Bismarckstraße 109 / Am Schillertheater 2,,Kurt Enderlein ,1952-53
12,09097799,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Büro- und Geschäftshaus,Ensemble-Bestandteil,,Am Schillertheater 4,,Eduard Ludwig ,1958-59
13,09020359,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshäuser, Schule",Ensemble-Bestandteil,Gesamtanlage siehe: Bleibtreustraße 43 / Knesebeckstraße 24-25 - Baudenkmale siehe: Bleibtreustraße 15-16; 17; 20; 40; 42; Knesebeckstraße 33-34; Mommsenstraße 5; 6; 66,"Bleibtreustraße 15-17, 19-20, 40-43","Knesebeckstraße 24-25, 33-34, 68-69 - Mommsenstraße 1-6, 64-68, 69-70 - Schlüterstraße 51",,
14,09020369,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Bleibtreustraße 19,,Gustav Paulsen ,1902-03
15,09020370,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden, Gaststätte",Ensemble-Bestandteil,,Bleibtreustraße 41 / Mommsenstraße,,Bernhard Hellwag ,1897-98
16,09020371,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Knesebeckstraße 68-69,,O. Herold ,1903-04
17,09020372,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Mommsenstraße 1,,Bernhard Hellwag ,1898-99
18,09020373,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Mommsenstraße 2,,Johannes Mathiesen ,1898
19,09020374,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Mommsenstraße 3,,Gustav Bähr ,1897-98
20,09020375,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Mommsenstraße 4,,Bernhard Hellwag ,1898-99
21,09020376,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Mommsenstraße 64 / Schlüterstraße 51,,August Hoffmann ,1901-02
22,09020377,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Mommsenstraße 65,,Ludwig Bosse ,1901-02
23,09020378,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Mommsenstraße 67,,Carl Fritz ,1904-05
24,09020379,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Mommsenstraße 68,,Carl Fritz ,1902-03
25,09020380,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Mommsenstraße 69,,Carl Fritz ,1901-02
26,09020381,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Mommsenstraße 70,,Wilhelm Lagotz ,1899-1900
27,09040104,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Breitscheidplatz, Wiederaufbaugebiet „Rund um den Zoo“, (City-West), Kirche, Büro- und Geschäftshäuser, Kinos",Ensemble-Bestandteil,Gesamtanlagen siehe: Breitscheidplatz; Budapester Straße 38/50 - Baudenkmale siehe: Kurfürstendamm 234; 236; 237; Tauentzienstraße 9; 13,Breitscheidplatz,"Budapester Straße 38/50, 45 - Hardenbergplatz 2 - Hardenbergstraße 29, 29A, D - Kurfürstendamm 234-237 - Kantstraße 1, 165 - Rankestraße 1-1A, 36 - Tauentzienstraße 9, 13, 13A,",,
28,09040105,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Brunnenanlage (Weltkugelbrunnen) mit Treppen, Café und Läden",Ensemble-Bestandteil,,Breitscheidplatz,,"Krusnik & Reith (Architekten), Joachim Schmettau (Bildhauer) ",1981-83
29,09040106,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Berolina-Haus, Wohn- und Geschäftshaus",Ensemble-Bestandteil,,Kurfürstendamm 235,,"Graaf, Schweger und Partner ",1983-86
30,09040163,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Tauentzienstraße 13A,,G. Schnitger ,1893-94
31,09020382,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshäuser, Ledigenheim, Gasleuchten im Straßenraum",Ensemble-Bestandteil,Baudenkmale siehe: Christstraße 33; 34; 35; 36; 37; 39; 40; Danckelmannstraße 10; 21; 41; 46-47; Nehringstraße 1; 3; 3A; Sophie-Charlotten-Straße 88,"Christstraße 1, 4-5, 7-10, 33-43","Danckelmannstraße 10-11, 13-21, 41-51 - Knobelsdorffstraße 17-22, 24/50 - Nehringstraße 1-6, 13, 34 - Neufertstraße 4-14, 16 - Seelingstraße 3-23, 24/26, 29/39, 42-49, 51-54, 56-60 - Sophie-Charlotten-Straße 88-89",,
32,09020383,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Christstraße 1 / Nehringstraße,,Louis Mittelmeyer ,1888-89
33,09020384,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Christstraße 4,,F. Mair Rolph ,1873-74
34,09020385,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Christstraße 5,,Ernst George ,1873-74
35,09020386,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Christstraße 7,,Carl Weithaase ,1901-02
36,09020387,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Christstraße 8,,Ernst George ,1887-88
37,09020388,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Christstraße 8A,,Alfred Schrobsdorff ,1902
38,09020389,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Christstraße 9,,F. Mair Rolph ,1873-74
39,09020390,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Christstraße 10,,Ernst George ,1873-74
40,09020391,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Christstraße 38,,Robert Thiele ,1900-01
41,09035427,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Garagenhof mit Werkstattbau,Ensemble-Bestandteil,,Christstraße 39,,,1913-20
42,09020392,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Christstraße 41,,Ernst George; Umbau 1928 von Ludwig Kremmer; Umbau 1964,1873 und 1928 und 1964
43,09020393,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Christstraße 42,,Franz Kemnitz ,1889-90
44,09020394,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Danckelmannstraße 11 / Seelingstraße 42,,Alfred Schrobsdorff ,1887-88
45,09020395,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Danckelmannstraße 13,,Georges Heinecke ,1890
46,09020396,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Danckelmannstraße 14,,Bernd Schmidt ,1891-92
47,09020397,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Danckelmannstraße 15,,Ross & Heinecke ,1892-93
48,09020398,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Danckelmannstraße 16,,H. Enders ,1902-04
49,09020399,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,Mietshaus,Ensemble-Bestandteil,,Danckelmannstraße 17,,H. Enders ,1901-02
50,09020400,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Danckelmannstraße 18,,Johann Krenz ,1894-95
51,09020401,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Danckelmannstraße 19,,,1893-94
52,09020402,CHA-WIL/CHARL-E,Charlottenburg-Wilmersdorf,Ensemble,"Mietshaus, Läden",Ensemble-Bestandteil,,Danckelmannstraße 20,,Ludwig Gieseler und Albert Schubert (?) ,1901-02
